"","var","rel.inf"
"CUGBP1","CUGBP1",0
"VWCE","VWCE",0
"SNCAIP","SNCAIP",0
"ANKDD1A","ANKDD1A",0
"FOLR2","FOLR2",0
"BHLHB3","BHLHB3",0
"MRO","MRO",0
"HSD17B13","HSD17B13",0
"ALDH1L1","ALDH1L1",0
"NTRK2","NTRK2",0
"hCG_1990170","hCG_1990170",0
"RFT1","RFT1",0
"LAT","LAT",0
"GABRP","GABRP",0
"LRMP","LRMP",0
"LRRIQ2","LRRIQ2",0
"SAA4","SAA4",0
"DMD","DMD",0
"ZNF804A","ZNF804A",0
"PDK3","PDK3",0
"KCNJ16","KCNJ16",0
"CYR61","CYR61",0
"AIFM1","AIFM1",0
"ELOVL3","ELOVL3",0
"PLTP","PLTP",0
"DNASE1L3","DNASE1L3",0
"MAP3K14","MAP3K14",0
"CD40","CD40",0
"TUSC2","TUSC2",0
"EGR1","EGR1",0
"ABCB1","ABCB1",0
"MYH3","MYH3",0
"TLR8","TLR8",0
"GCET2","GCET2",0
"SERPIND1","SERPIND1",0
"PRRT3","PRRT3",0
"KLRF1","KLRF1",0
"RGS2","RGS2",0
"SCYL2","SCYL2",0
"CCNL1","CCNL1",0
"CDH22","CDH22",0
"LY75","LY75",0
"PNPLA5","PNPLA5",0
"CXCL1","CXCL1",0
"IL33","IL33",0
"PPM1F","PPM1F",0
"GPX3","GPX3",0
"KRT5","KRT5",0
"MT1H","MT1H",0
"C1orf213","C1orf213",0
"AMT","AMT",0
"ACOX2","ACOX2",0
"LCE3C","LCE3C",0
"FTSJ2","FTSJ2",0
"DAPL1","DAPL1",0
"ARHGAP22","ARHGAP22",0
"INSL3","INSL3",0
"TMCO3","TMCO3",0
"BCLAF1","BCLAF1",0
"SERPINB9","SERPINB9",0
"LAIR1","LAIR1",0
"MRAP","MRAP",0
"OR52D1","OR52D1",0
"CSTA","CSTA",0
"CAPN6","CAPN6",0
"NPPA","NPPA",0
"LAMB3","LAMB3",0
"PAFAH1B3","PAFAH1B3",0
"CHST2","CHST2",0
"WDR38","WDR38",0
"PI3","PI3",0
"TRMT11","TRMT11",0
"BNC1","BNC1",0
"MIPEP","MIPEP",0
"RABIF","RABIF",0
"C12orf28","C12orf28",0
"HN1L","HN1L",0
"LIPG","LIPG",0
"XPNPEP3","XPNPEP3",0
"KIAA1754","KIAA1754",0
"ADIPOR1","ADIPOR1",0
"LCP2","LCP2",0
"EMILIN2","EMILIN2",0
"GUK1","GUK1",0
"CD47","CD47",0
"FXYD1","FXYD1",0
"KCNIP2","KCNIP2",0
"PGS1","PGS1",0
"LEPREL1","LEPREL1",0
"HSD17B6","HSD17B6",0
"ACSL4","ACSL4",0
"SOX13","SOX13",0
"DEFB1","DEFB1",0
"MEOX1","MEOX1",0
"SLC2A3","SLC2A3",0
"EDN3","EDN3",0
"TMEM57","TMEM57",0
"C14orf130","C14orf130",0
"TNMD","TNMD",0
"LRFN2","LRFN2",0
"KCNE1L","KCNE1L",0
"C16orf52","C16orf52",0
"BMPER","BMPER",0
"SCARA5","SCARA5",0
"PPEF1","PPEF1",0
"PIWIL4","PIWIL4",0
"ADAMTS1","ADAMTS1",0
"FNBP4","FNBP4",0
"SLC1A4","SLC1A4",0
"TNFAIP8","TNFAIP8",0
"KLHL29","KLHL29",0
"CCL21","CCL21",0
"CD300LF","CD300LF",0
"PSCDBP","PSCDBP",0
"RBM27","RBM27",0
"COL10A1","COL10A1",0
"F12","F12",0
"FREM1","FREM1",0
"HIST1H3A","HIST1H3A",0
"SPOCD1","SPOCD1",0
"PBX4","PBX4",0
"RAB1B","RAB1B",0
"LEP","LEP",0
"A2M","A2M",0
"ST8SIA4","ST8SIA4",0
"TSPAN7","TSPAN7",0
"DOPEY2","DOPEY2",0
"SYNGR4","SYNGR4",0
"IL15RA","IL15RA",0
"MYC","MYC",0
"ST6GALNAC3","ST6GALNAC3",0
