"","number","idx","exp","MSE"
"KRT34",445,31,-2.448125,1574884.76825374
"ZNHIT1",12087,232,0.671125,1574887.33557154
"Gcom1",9496,31,-0.161611111111111,1574934.18467282
"HOOK1",13901,222,2.220625,1575109.26862029
"KIAA0133",6262,234,0.518375,1575180.926158
"VPS8",10326,192,0.634375,1575222.68671913
"C6orf128",1391,221,0.684833333333334,1575468.92459029
"NKAP",11245,23,-1.202875,1575524.80094658
"MLYCD",1050,20,-0.6564375,1575617.46627418
"CCDC49",4936,41,-0.69835,1575638.69544302
"ULBP2",6169,35,-1.83991666666666,1575744.18795247
"NECAP2",12130,32,-0.3955625,1575746.91375111
"PHKB",1027,25,-0.72975,1575807.0899837
"PSMC5",7430,41,-0.901416666666667,1575894.84594494
"SNAPC1",193,24,-1.82358333333334,1575954.99395829
"B4GALT5",7570,204,0.30905,1575986.38481512
"PRKRIP1",752,226,-0.0789999999999997,1575988.11044812
"VAMP5",11569,47,0.191,1576155.57814692
"GGTA1",11591,50,4.899375,1576163.33314252
"FAM47B",2397,116,0.278,1576272.22193254
"PLXNC1",12152,22,-0.43775,1576317.6497638
"SUHW4",13917,225,1.827625,1576319.1929392
"PCDH10",8414,30,-1.37607142857143,1576386.16169251
"MS4A4A",15810,65,-1.50425,1576391.73455622
"CTB-1048E9.5",1968,94,-0.4758125,1576435.37750973
"MFNG",10748,26,-1.182125,1576437.38753007
"MAPK8",2940,180,0.0312499999999994,1576466.2125323
"FLJ40298",12446,237,2.51625,1576591.62221101
"MAP3K7IP2",4986,197,0.920625,1576677.7320262
"HTATSF1",3012,36,-0.137125,1576699.33263496
"STK36",15778,234,1.057,1576756.53281128
"LRPAP1",17235,86,0.0741071428571426,1576849.21356138
"GAS2L1",4513,26,-0.00595833333333288,1576882.74461657
"MARCH1",17249,21,1.17325,1576932.13212405
"C9orf68",10658,223,2.569875,1576969.1967298
"FGFBP2",1934,62,-0.444875000000001,1577008.99238011
"CD97",14453,24,-1.94938333333334,1577105.11130988
"CD96",1922,28,-2.04465,1577115.01470461
"PAPOLG",5033,158,0.524375,1577187.90042803
"RTBDN",5223,196,0.62275,1577190.45884181
"GMFG",2377,29,-0.71075,1577226.61017008
"EBF2",11573,68,0.355333333333333,1577260.4747492
"ATP5B",3464,25,-1.8105,1577351.75676082
"IFT52",6549,20,-1.07141666666667,1577403.44028239
"CTA-216E10.6",6685,27,-0.737583333333333,1577418.47684672
"TMC5",5070,233,4.24425,1577510.37143046
"PDIA2",15748,20,-4.19225,1577614.82199205
"CPA1",6024,29,-0.247416666666667,1577659.40159459
"TIA1",11956,211,-0.440333333333333,1577677.53497263
"STT3B",3275,40,-1.14958333333333,1577683.44796867
"MAP3K7",11692,210,0.263749999999999,1577862.39380078
"EMD",10485,197,-0.817375,1577936.15310626
