"","number","idx","exp","MSE"
"CHIA",8451,22,-0.157749999999998,1875463.16879327
"SERPINB6",8353,140,-0.291464285714286,1875525.56719269
"DPM1",9361,24,-1.5875,1875538.35024249
"DNAJC14",10370,41,-0.42845,1875550.73143435
"S100A7",5294,328,1.807,1875597.47263743
"ZNF761",16723,63,-0.263750000000002,1875668.59296591
"ITGB1",11189,22,-0.600100000000003,1875668.94484983
"LILRB5",12739,202,1.7864375,1875883.44758708
"CSRP2BP",4790,23,-0.556999999999998,1875893.345937
"GALNTL4",7148,196,1.790125,1875898.92492063
"TIA1",11956,321,-0.440166666666667,1875988.24327897
"C7orf36",5732,374,0.55625,1876009.11454175
"C21orf63",14390,309,1.429625,1876058.88862923
"PLAC8",17165,332,-2.3475,1876122.18533166
"MYO5C",4568,50,-0.310937500000002,1876178.10496573
"NDUFA9",10699,23,-1.03308333333333,1876214.73017393
"MYH13",2431,22,-0.866500000000001,1876272.93083157
"LCN12",12093,397,2.72741666666666,1876286.39096697
"KIAA1614",10607,56,-0.32025,1876455.28994684
"DSC3",1655,174,0.112500000000002,1876498.39296979
"PI3",2699,290,0.0714999999999992,1876591.73091937
"FLJ30092",8447,309,0.28525,1876622.9779745
"TRIM35",2597,294,0.929249999999998,1876670.33409263
"INTS2",5168,201,-0.998875,1876696.82655267
"GPX2",4782,24,-3.996375,1876724.6383592
"ZNF566",10083,112,-0.031083333333334,1876746.84832686
"DICER1",12038,402,1.71056250000001,1876847.27136411
"RASGEF1A",11288,169,0.474749999999999,1876963.2886862
"EIF2B5",10868,149,-0.0805000000000002,1876996.12070876
"OR56B1",7321,58,0.0865833333333327,1877008.52655923
"HOPX",14075,23,2.047875,1877032.36782594
"MORN2",12871,384,1.731,1877072.6277251
"LATS1",10499,20,-0.62975,1877150.34174972
"ANKRD25",14061,73,-1.05241666666667,1877163.56015966
"ZNHIT1",12087,391,0.76025,1877241.37031049
"HSPA12B",11550,34,1.29066666666667,1877314.17996656
"ASPHD1",3707,237,-1.8115,1877331.23629226
"ERGIC1",1090,102,-0.0393888888888893,1877392.52058444
"SYT8",7317,55,-1.35875,1877406.63460803
"JUN",6465,158,0.639416666666667,1877476.15102025
