"","mutO","mutX","MSE"
"PKD1L1",29,955,1942078.76441955
"FLG2",27,956,1942137.92135502
"MAP2K4",33,945,1942161.77747566
"TMEM132D",22,958,1942189.78155492
"SI",20,958,1942213.00929418
"SZT2",23,960,1942278.36057267
"FLNA",31,955,1942288.88343518
"TPR",21,958,1942326.18746251
"DNAH3",29,950,1942370.62994444
"FSIP2",20,961,1942423.17138945
"FLNC",28,951,1942502.02286269
"DSPP",23,957,1942533.35473929
"NBPF10",21,959,1942653.49111528
"BCORL1",21,958,1942688.16625065
"CNTRL",26,957,1942693.3728289
"PKD1L2",20,959,1942698.96856176
"TCHH",23,956,1942796.54766475
"HLA-DRB1",21,962,1942848.24671024
"SVEP1",28,954,1942870.61523683
"CIT",20,958,1942905.81261905
"CHD4",32,951,1943141.7533434
"PIWIL1",20,958,1943196.77542753
"APC",28,957,1943352.55534464
"PLXNA4",23,957,1943513.98012525
"BIRC6",29,952,1943737.34597022
"MDN1",45,940,1943837.33744591
"RGPD3",22,958,1943943.33268776
"PCNT",23,957,1943963.89186324
"USP34",32,947,1944085.03447065
"MED12",30,949,1944298.18392224
"SSPO",22,959,1944349.84123332
"ANK1",21,958,1944367.23727298
"CSMD3",35,950,1944458.19635077
"SRCAP",30,949,1944470.8230057
"SETD2",26,958,1944582.84311807
"SPTA1",47,934,1944717.35727884
"TRPM6",20,960,1944795.77783237
"PIK3R1",20,960,1944799.77876029
"ABCA12",21,959,1944853.46570615
"KCNN3",24,960,1944854.74412561
"ABCA13",48,938,1944865.91904829
"CUBN",34,948,1945317.82992051
"GOLGB1",25,959,1945441.61472645
"SMG1",31,953,1945441.79520679
"ATM",27,953,1945483.9141343
"ERCC6",21,960,1945583.84850276
"KIAA2022",21,959,1945653.13270142
"TAF1",21,961,1945688.91936177
"C9orf174",25,956,1945720.38013954
"AGBL1",20,962,1945748.53920514
"NOTCH2",31,947,1945793.86621999
"PCDH19",28,954,1945812.79914946
"APOB",47,939,1945821.86994867
"DYNC2H1",26,954,1945901.92370742
"EYS",25,954,1946089.4357312
"LAMA2",21,958,1946102.98602447
"ZDBF2",23,960,1946116.12499938
"KIF4A",22,956,1946136.87923682
"CACNA1A",20,957,1946140.45485644
"COL7A1",20,958,1946160.02832257
"CROCCP2",67,913,1946166.48501951
"BPTF",20,960,1946231.61490544
"RUNX1",36,946,1946241.87818843
"TRIO",22,958,1946347.42815256
"OTOGL",24,956,1946428.74581017
"DNAH12",26,955,1946582.48487801
"MLLT4",21,960,1946683.37802242
"MYH7",23,957,1946796.99215947
"CHD5",21,958,1946904.40196293
"NBPF1",21,956,1947022.0109988
"CCDC168",20,961,1947052.52380017
"CNTNAP2",20,958,1947063.42345558
"CDH23",21,956,1947097.93452935
"RB1",26,955,1947206.10557375
"FBN1",26,953,1947250.39486157
"NAV3",20,958,1947293.0782917
"HECW1",26,956,1947347.88036392
"LAMA1",26,954,1947366.82117799
"TBP",38,941,1947590.80834525
"TG",26,954,1947694.68274661
"TACC2",22,961,1947771.29845664
"CNTNAP5",20,960,1947794.10803137
"PTPRB",22,956,1947802.75623745
"CHD6",26,951,1947901.67915971
"FREM1",24,954,1947913.42624893
"VPS13A",23,959,1947950.03970584
"TNRC6B",21,957,1947989.17508666
"CACNA1E",36,946,1948061.05929462
"ASPM",34,951,1948110.81873
"IGSF10",26,955,1948128.62999752
"BRCA2",20,960,1948273.01105872
"KIAA0947",28,957,1948331.59562702
"QSER1",26,953,1948463.47145075
"LRP2",45,939,1948659.66592318
"SCN4A",21,962,1948807.3474855
"WDR87",24,963,1948839.31120441
"PARP4",20,960,1948959.01004542
"TNXB",25,955,1948993.18369027
"MST1P9",31,949,1949013.57583093
"FAT1",27,953,1949123.85152116
"SCN10A",24,957,1949142.50892857
"TP53BP1",23,957,1949379.25421927
"CACNA1C",26,953,1949460.47747802
"SF3B1",20,960,1949539.98602414
"ATP10B",23,956,1950160.22950187
"COL6A5",40,946,1950247.09257187
"PTEN",39,942,1950263.65480543
"PKHD1L1",39,946,1950278.02495591
"MYH1",22,957,1950348.50050022
"ZAN",27,951,1950552.72521684
"AKAP9",32,952,1950554.32447947
"PEG3",24,957,1950755.39601743
"CACNA1D",22,956,1950948.45301603
"FAM157B",22,956,1951029.87056992
"MEGF8",23,955,1951056.23519245
"THSD7B",20,958,1951071.15567172
"TNRC18",20,959,1951083.51874292
"LRP1",39,944,1951094.6815729
"FASN",20,961,1951109.55323299
"CACNA1F",23,954,1951218.94541838
"DNHD1",22,957,1951488.30672606
"WDR52",20,959,1951539.3306967
"DNAH17",34,946,1951565.67988742
"LAMA3",20,959,1951643.61208462
"URGCP",30,972,1951683.58796552
"CTCF",20,957,1951688.41663765
"NWD1",20,958,1951757.36779686
"ASXL3",21,956,1951760.09285361
"RPGR",25,955,1951818.85907855
"EPG5",20,959,1952145.25491654
"TBX3",29,950,1952256.025181
"GOLGA6L2",33,945,1952294.76673234
"MUC20",30,948,1952501.1793649
"HERC2",37,945,1952506.43703087
"PDE3A",20,958,1952562.01958914
"SDK2",25,958,1952578.12885339
"LRBA",28,950,1952625.35246055
"AKD1",23,958,1952643.61470178
"ZNF462",22,959,1952664.3435959
"LCT",21,956,1952718.21424252
"C5orf42",24,958,1952824.81032214
"ANKRD30BL",24,953,1952835.04683995
"FRG1B",32,945,1953122.89984986
"DNAH1",27,953,1953534.87196737
"PRRC2C",22,959,1953645.79590229
"DMXL2",30,956,1954282.60335812
"TLN1",21,957,1955642.21171141
"BRWD1",24,956,1958148.20980327
"LYST",34,951,1961510.69834755
"ADAMTSL1",23,955,1961558.24058561
"MAP3K1",106,905,1965252.78057959
"EP400",21,960,1967523.02059336
"F5",32,957,1969715.2962909
"NCOR1",46,935,1976265.3045331
"HSPG2",23,958,2009679.06667378
"MYH9",28,953,2117104.32520967
