"","mutO","mutX","MSE"
"PCDHGA7",2,402,1451565.40656248
"ELF3",4,400,1451568.14106436
"COG1",4,400,1451568.49454827
"ZNF510",2,402,1451569.98547485
"TMEM50A",2,402,1451569.98547485
"SDC1",2,402,1451569.98547485
"RBM23",3,401,1451571.22999021
"NR1H4",4,400,1451578.22559406
"ZMYM3",8,396,1451578.66894814
"HERC2P3",2,402,1451579.1358369
"CETN2",2,402,1451579.1358369
"DIAPH3",2,402,1451579.1358369
"EFHA1",2,402,1451579.1358369
"R3HCC1",2,402,1451579.1358369
"E2F1",2,402,1451581.17292867
"TPR",8,396,1451581.47401303
"MAP3K13",5,399,1451582.22122881
"SYT6",3,401,1451583.68710649
"CXorf65",3,401,1451583.68710649
"YEATS2",5,399,1451588.02284672
"DCUN1D2",3,401,1451589.91798556
"PCYT1B",3,401,1451591.15621425
"AZIN1",2,402,1451592.84272326
"PHF17",4,400,1451594.41900371
"PMFBP1",5,399,1451596.71775478
"HSPA2",3,401,1451597.38154613
"INTS10",2,402,1451597.40671026
"PGR",2,402,1451597.40671026
"CTPS2",2,402,1451601.96820969
"ARSB",2,402,1451601.96820969
"SLC19A2",2,402,1451603.99975986
"POLR2J4",2,402,1451606.52722157
"DSCAML1",10,394,1451610.41767226
"SORBS1",7,397,1451612.92697886
"IBTK",3,401,1451613.52363728
"KCNH4",3,401,1451613.52363728
"IPO8",5,399,1451614.08050324
"ZNF440",2,402,1451615.63778262
"ECT2",2,402,1451615.63778262
"SLC12A8",2,402,1451615.63778262
"ZCCHC13",2,402,1451615.63778262
"SPRED1",5,399,1451616.97078588
"RGS14",5,399,1451616.97078588
"TLE4",3,401,1451617.24572233
"EVC2",2,402,1451617.66600783
"TRAM2",2,402,1451617.66600783
"CDK14",6,398,1451619.75719978
"ZNF829",2,402,1451620.18933181
"KANK3",4,400,1451623.48839109
"KIAA1551",3,401,1451624.6849049
"WDR54",2,402,1451629.28496749
"MSMP",2,402,1451633.82905399
"MAGI1",7,397,1451634.94462357
"FGFR4",4,400,1451636.37561881
"ADAM15",4,400,1451636.37561881
"VIL1",4,400,1451642.81173267
"PARVA",4,400,1451642.81173267
"CSF2RB",2,402,1451642.9097643
"INPP4A",2,402,1451642.9097643
