"","cor","number"
"MOP-1",-0.357245598667763,5521
"DNASE1L3",0.356168455757806,1235
"MPG",-0.356154626533745,2109
"C1orf123",0.35579125080476,10014
"KLC2",-0.355325404062539,898
"C16orf14",-0.354502462232613,5483
"KRT85",-0.35447081013921,12916
"ZNF595",0.35388981416484,14341
"ARL8A",-0.353572623711859,11337
"HIST2H2AB",-0.353302528037984,11800
"KLRG1",0.352500027454186,385
"ABI1",0.35197540245338,3945
"USP31",0.351677719142445,1693
"SFRP1",0.350914607245561,10814
"ZNF781",0.350409433294454,11236
"OR10H2",-0.350408911257237,11302
"RNF180",0.350323179754863,7840
"MUPCDH",-0.350227057288837,10149
"MGC20983",-0.35006269168477,17141
"ARMCX1",0.349725990629987,5098
"PAK7",0.349702411187083,9355
"SIRT6",-0.349368382579916,108
"KIAA1345",0.349266204950928,10258
"CCDC33",-0.349162952404096,1776
"APOO",-0.348559822712231,5097
"PRB3",-0.34819776674274,3765
"ZNF668",-0.348167667270169,13896
"SYT8",0.347980226632816,7317
"RP11-78J21.1",0.347848554270367,9403
"ATP8B4",0.347821495747871,11179
"ARMETL1",0.347631520251676,6161
"DPYD",0.346810771433252,13232
"PTGER4",0.346773007378159,15683
"FAM131C",-0.346583710856094,13398
"MRP63",-0.346559793099273,12722
"MGC21881",0.3465461965701,6815
"ONECUT1",-0.346067240689049,14676
"C20orf195",-0.34598204032137,7693
"C8orf73",-0.345877645064446,7062
"OSTN",-0.345522142746441,431
"LHX4",-0.345296099996876,5018
"MARCH4",-0.345094392454042,16027
"PCDHGA7",-0.344653851312912,5612
"LOC400657",0.344566750574368,8165
"IL33",0.34372087366819,1940
"TMEM156",0.343202789231078,13183
"CYFIP1",0.343030538553552,12044
"LOC51057",0.342394441815147,11948
"IL18R1",0.34225136796695,7573
"C10orf78",0.341996273867338,16960
"TNMD",0.341395793262026,3632
"MGC3196",-0.340915478359309,1722
"RTBDN",-0.340183408843934,5223
"KCND1",0.340097647144022,7757
"C14orf21",-0.339887426167014,7089
"TMEM14B",0.339698278660073,3035
"TMEM168",0.339371679078491,10795
"THSD7A",0.339091616272387,13677
"MIF",-0.338340575118201,12854
"H1FNT",-0.338200921911031,10432
"ZNF274",0.33737841578457,7759
"KLK9",-0.336945577874341,4845
"OR5J2",-0.336870837892671,16940
"COL8A1",-0.336325516948228,11348
"MGC33407",-0.336178971753975,3925
"COL6A6",0.336157910607357,12956
"CRB3",-0.336078005500903,9509
"DUSP22",0.335581947017167,5506
"ESR2",0.335519444872369,16159
"IGF1",0.335394305608129,2208
"MAP2K6",0.334876521624149,3553
"APOBEC3C",0.334771633129186,12733
"ZNF684",0.334626093011188,15179
"C7",0.334544092474989,1523
"C19orf19",-0.334161664103157,1906
"TAF11",0.334030613293292,5113
"HIST1H4J",-0.333756501299532,13037
"MXD3",-0.333577145464817,6211
"HNRNPU",-0.333326331630223,14016
"C19orf52",-0.333319757884996,2888
"C21orf63",0.333129562764848,14390
"FLRT1",-0.332842659935954,4353
"TMEM14C",0.33282321404483,6735
"DYNLRB1",-0.332543985771977,5953
"CRYZL1",0.332484468238081,5531
"ZNF277P",0.332365250737009,13958
"LRRTM2",0.332341840965,5048
"HDC",0.332309834944247,15122
"SCAND1",-0.332224596089544,16482
"COMP",-0.331920157285995,711
"C13orf18",0.331899693880529,8926
"ZDHHC5",-0.331746138379957,6170
"C14orf68",-0.331725755891678,5131
"IQSEC2",-0.331656323245089,15433
"SLC34A3",-0.331598630881138,9041
"FZR1",-0.330608246624245,1085
"MGC7036",0.33056790098743,15479
"C19orf41",-0.329786681873433,6532
"P53AIP1",0.329043095403107,4756
"CEP250",-0.32879069314813,15175
"RARB",0.328720681340825,6759
"TNK2",-0.328485145454482,5837
"KCNA5",0.32846790812354,10574
"HIST1H4F",-0.328419719622053,16951
"GPRIN1",-0.328413088656531,2906
"BTAF1",0.327931474095859,14057
"GGTA1",0.3272289321138,11591
"CACNA1B",-0.325870777994185,7885
